EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
52762.240,53813.980,56775.640,146475.600,46567.110,60051.050,54479.060,146475.600,0.000
174382.400,177850.700,187200.000,487151.300,153945.600,198422.700,180026.000,487151.300,0.000
260006.400,265158.700,278058.100,734571.100,229656.500,295711.400,268370.900,734571.100,0.000
279118.300,284623.100,297130.400,801303.100,246734.800,317236.700,288047.300,801303.100,0.000
280182.300,285682.800,297125.300,817789.300,247865.600,318243.500,289087.300,817789.300,0.000
266864.700,272076.800,281971.200,793229.100,236272.000,302909.700,275277.700,793229.100,0.000
240343.500,245005.600,252941.600,730188.300,212996.000,272571.200,247843.800,730188.300,0.000
224567.400,228895.300,235793.400,694636.800,199164.300,254495.500,231510.600,694636.800,0.000
233878.800,238373.500,245765.400,727301.400,207458.600,264995.200,241101.800,727301.400,0.000
249945.800,254741.600,262871.600,778897.900,221714.100,283185.400,257660.800,778897.900,0.000
246723.500,251438.700,259102.000,777435.200,218954.700,279414.100,254298.200,777435.200,0.000
225698.000,229983.100,236281.300,725877.100,200479.700,255390.800,232563.600,725877.100,0.000
211909.100,215910.500,221454.600,692829.800,188363.500,239628.500,218302.500,692829.800,0.000
218878.500,223010.000,229043.300,716399.200,194557.200,247502.200,225485.900,716399.200,0.000
231792.600,236170.700,242898.300,756732.600,205998.400,262137.200,238798.400,756732.600,0.000
229674.800,233998.500,240460.500,755871.400,204180.700,259654.100,236587.100,755871.400,0.000
213533.800,217524.900,222994.000,715684.700,189984.000,241214.600,219902.700,715684.700,0.000
202791.500,206561.000,211480.100,689324.900,180531.200,228939.300,208790.500,688666.600,0.000
207893.800,211761.900,217070.100,706219.100,185059.000,234712.500,214052.100,703271.900,0.000
217587.900,221647.700,227499.600,734297.500,193643.300,245716.600,224053.700,729578.600,0.000
216029.900,220056.200,225731.500,725354.600,192305.900,243909.000,222439.100,724806.300,0.000
203943.000,207725.400,212676.600,679361.000,181677.200,230121.400,209961.500,690675.800,0.000
195722.000,199338.000,203880.600,639758.700,174443.100,220746.300,201471.100,666737.600,0.000
199089.600,202772.300,207592.100,631912.900,177432.500,224562.600,204949.900,674939.100,0.000
205900.300,209716.800,214933.000,635181.900,183460.500,232291.100,211972.300,693271.800,0.000
204730.700,208517.500,213620.600,618952.900,182448.700,230926.400,210750.800,689818.800,0.000
196053.800,199659.300,204256.100,584077.700,174809.000,221015.900,201781.200,665255.900,0.000
189970.500,193446.900,197747.200,556675.300,169444.100,214067.200,195484.500,647394.900,0.000
191856.300,195365.800,199845.700,550640.900,171113.900,216197.000,197428.100,651675.400,0.000
