EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
243606.600,251480.700,267633.800,750000.100,111087.200,277217.700,254126.900,750000.100,0.000
239679.400,247387.200,261640.100,750000.100,110172.000,272551.200,249974.700,750000.100,0.000
236139.600,243691.800,256595.400,750000.100,109159.100,268381.700,246025.300,750000.100,0.000
232997.100,240425.000,252416.100,750000.100,108292.500,264678.900,242612.800,750000.100,0.000
230203.400,237498.900,248965.700,750000.100,107595.300,261341.600,239742.700,750000.100,0.000
227654.900,234819.500,245954.900,750000.100,106960.300,258290.100,237190.100,750000.100,0.000
225267.500,232345.600,243079.800,750000.100,106260.700,255489.700,234680.500,750000.100,0.000
223060.900,230051.900,240322.300,750000.100,105496.400,252921.500,232170.500,750000.100,0.000
221073.900,227996.700,237920.900,750000.100,104867.700,250596.800,229985.800,750000.100,0.000
219273.900,226113.700,235896.800,750000.100,104385.200,248453.800,228171.900,750000.100,0.000
217605.100,224358.100,234079.000,750000.100,103954.300,246461.600,226556.900,750000.100,0.000
216003.100,222700.800,232235.100,750000.100,103454.300,244593.200,224884.100,750000.100,0.000
214499.200,221143.200,230383.900,750000.100,102882.800,242859.700,223125.900,750000.100,0.000
213124.300,219728.100,228753.700,729869.300,102413.800,241268.900,221599.900,750000.100,0.000
211877.100,218419.600,227404.600,709081.500,102073.900,239785.400,220373.100,750000.100,0.000
210712.800,217188.200,226197.700,692686.100,101781.200,238386.500,219283.100,750000.100,0.000
209575.700,216016.100,224910.400,676802.900,101417.600,237064.600,218097.600,750000.100,0.000
208502.700,214900.100,223570.800,660464.100,100979.900,235831.700,216797.500,750000.100,0.000
207518.100,213890.400,222399.500,644265.900,100630.800,234693.900,215682.200,750000.100,0.000
206630.600,212961.400,221472.500,630748.800,100405.600,233627.400,214827.400,750000.100,0.000
205795.600,212080.600,220647.000,620761.900,100217.900,232613.100,214078.900,750000.100,0.000
204958.600,211218.200,219706.800,610590.300,99946.450,231641.200,213207.600,750000.100,0.000
204154.900,210382.800,218681.300,599406.700,99591.600,230732.800,212205.700,750000.100,0.000
203425.800,209637.400,217802.300,587860.200,99319.180,229895.700,211363.600,750000.100,0.000
202771.900,208947.400,217136.300,578477.800,99161.380,229102.600,210750.200,750000.100,0.000
202162.100,208294.100,216558.700,572175.400,99042.020,228349.700,210235.700,750000.100,0.000
201544.300,207661.300,215863.500,565386.900,98846.480,227634.600,209598.000,750000.100,0.000
200938.900,207032.400,215066.000,557310.600,98558.050,226949.800,208802.900,750000.100,0.000
200395.300,206482.100,214397.400,548607.800,98351.160,226331.500,208157.100,750000.100,0.000
199913.400,205975.500,213929.500,541780.900,98254.700,225747.100,207731.100,750000.100,0.000
199456.600,205485.000,213527.500,537790.900,98183.260,225176.900,207379.300,750000.100,0.000
198982.300,205003.000,212996.300,533135.800,98031.450,224633.500,206896.300,750000.100,0.000
198506.800,204503.700,212347.000,527040.800,97781.020,224107.500,206245.500,748224.500,0.000
198095.300,204086.100,211824.300,520167.100,97612.400,223638.800,205734.800,746267.900,0.000
197752.800,203717.800,211503.200,515028.000,97562.330,223207.000,205445.600,744449.800,0.000
197421.900,203359.000,211239.600,512567.700,97536.130,222782.300,205221.000,742767.900,0.000
197063.500,202996.200,210842.700,509349.300,97428.130,222370.200,204858.300,741146.900,0.000
196703.400,202621.600,210323.500,504621.200,97223.480,221973.800,204328.900,739579.800,0.000
196389.000,202310.300,209914.100,499036.800,97095.540,221627.800,203928.800,738084.300,0.000
196131.000,202038.200,209693.300,495069.400,97075.950,221306.600,203738.700,736696.100,0.000
195878.100,201752.300,209514.400,493688.900,97066.840,220969.300,203595.900,735418.300,0.000
195602.500,201471.700,209204.200,491487.800,96981.810,220647.000,203312.500,734184.800,0.000
195333.500,201193.300,208784.900,487730.700,96813.370,220350.900,202876.300,732984.800,0.000
195106.000,200967.800,208467.600,483041.700,96715.820,220095.500,202561.200,731832.600,0.000
194918.300,200763.600,208324.500,479901.600,96717.430,219855.300,202443.200,730769.700,0.000
194734.700,200563.400,208226.700,479267.700,96739.780,219612.400,202380.400,729801.800,0.000
194522.400,200351.000,207990.600,477779.400,96679.700,219369.800,202167.200,728864.100,0.000
194305.300,200124.700,207632.600,474683.300,96527.350,219142.100,201790.000,727942.800,0.000
194132.100,199954.300,207379.000,470639.200,96448.590,218951.800,201536.000,727057.300,0.000
193991.800,199805.200,207289.900,468084.100,96459.850,218765.400,201465.800,726244.800,0.000
193855.200,199650.800,207244.300,467966.300,96494.990,218582.000,201455.000,725515.200,0.000
193702.100,199500.800,207073.200,466981.700,96464.860,218414.200,201312.700,724806.600,0.000
193541.300,199335.400,206777.700,464400.400,96337.810,218245.000,200995.300,724105.800,0.000
193408.500,199211.800,206571.200,460855.100,96271.200,218103.900,200783.200,723425.300,0.000
193313.500,199106.400,206527.400,458735.400,96300.530,217971.500,200757.100,722808.400,0.000
193220.700,198989.500,206522.300,458971.700,96348.090,217830.200,200783.800,722262.100,0.000
193110.400,198881.700,206398.300,458378.500,96334.950,217710.100,200684.300,721729.200,0.000
192985.300,198755.000,206144.900,456170.800,96220.150,217586.900,200407.700,721192.900,0.000
192891.400,198668.000,205981.900,452997.700,96169.370,217491.400,200241.500,720675.200,0.000
192834.400,198603.400,205979.600,451220.600,96211.390,217397.900,200250.000,720215.500,0.000
192784.100,198535.200,206020.700,451772.000,96276.840,217301.300,200311.300,719815.100,0.000
192697.600,198451.800,205921.400,451469.100,96264.050,217202.600,200235.000,719418.000,0.000
192596.500,198343.900,205693.300,449561.200,96153.190,217106.600,199984.000,719012.300,0.000
192532.500,198286.300,205560.100,446692.300,96111.160,217044.100,199844.200,718616.600,0.000
192506.600,198250.100,205590.300,445190.100,96167.580,216986.300,199887.400,718269.800,0.000
192480.200,198203.900,205654.400,445939.000,96238.210,216918.000,199972.200,717979.600,0.000
192416.200,198138.800,205582.800,445853.500,96232.840,216843.300,199920.700,717683.400,0.000
192340.800,198064.500,205387.800,444181.800,96137.180,216775.900,199699.300,717377.300,0.000
192285.200,198016.500,205272.000,441595.200,96096.500,216727.600,199578.400,717074.500,0.000
192275.200,197997.000,205316.000,440304.100,96155.600,216690.200,199634.600,716818.900,0.000
192268.000,197977.300,205398.800,441158.900,96232.580,216648.100,199736.200,716612.000,0.000
192219.400,197933.900,205345.800,441249.200,96232.840,216600.800,199707.000,716399.100,0.000
192164.500,197870.100,205171.200,439772.700,96144.420,216547.500,199502.800,716170.100,0.000
192129.000,197849.700,205080.600,437393.600,96114.200,216516.800,199400.400,715941.000,0.000
192130.000,197845.700,205138.500,436269.400,96175.900,216498.900,199472.900,715751.100,0.000
192128.000,197833.700,205230.200,437227.100,96254.930,216472.200,199587.900,715603.500,0.000
192095.300,197805.700,205200.300,437476.900,96267.450,216441.900,199578.100,715452.100,0.000
192048.300,197751.300,205032.500,436143.300,96174.910,216400.300,199381.300,715276.900,0.000
192032.300,197737.200,204958.200,433929.100,96148.630,216381.400,199291.800,715102.900,0.000
192043.000,197741.700,205022.600,432930.500,96211.570,216371.600,199367.600,714965.100,0.000
192059.300,197747.500,205129.800,434002.800,96300.260,216363.500,199499.000,714871.500,0.000
192041.000,197738.500,205114.300,434365.800,96318.140,216349.300,199503.100,714766.600,0.000
192005.200,197703.300,204966.900,433159.800,96239.110,216327.100,199327.900,714633.300,0.000
191992.800,197702.000,204901.400,431059.600,96218.720,216322.700,199249.500,714499.100,0.000
192007.600,197708.900,204972.500,430152.300,96278.270,216315.400,199328.800,714398.100,0.000
192024.900,197712.700,205079.000,431276.600,96354.980,216302.000,199451.800,714333.100,0.000
192010.300,197704.400,205063.700,431719.100,96366.780,216287.500,199454.900,714258.200,0.000
