EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
46166.700,47593.720,46980.050,146475.600,10693.510,50718.890,46730.630,146475.600,0.000
152772.600,157484.300,155287.600,487151.300,35624.310,167806.000,154614.500,487151.300,0.000
228280.200,235294.500,231626.100,734571.100,53874.760,250661.500,230993.000,734571.100,0.000
245796.600,253309.800,248881.000,801303.100,58983.040,269770.800,248697.900,801303.100,0.000
247473.300,254996.500,250168.500,817789.300,60362.910,271489.100,250408.100,817789.300,0.000
236458.800,243604.800,238665.100,793229.100,58665.750,259285.800,239258.600,793229.100,0.000
213745.900,220159.100,215363.000,730188.300,54074.110,234251.000,216216.600,730188.300,0.000
200282.000,206255.000,201593.300,694636.800,51429.170,219395.800,202529.800,694636.800,0.000
208688.700,214904.900,210139.600,727301.400,53756.670,228582.800,211033.100,727301.400,0.000
223026.600,229672.700,224677.900,778897.900,57486.880,244290.200,225574.400,778897.900,0.000
220514.900,227068.900,222022.000,777435.200,57356.570,241480.600,223044.000,777435.200,0.000
202381.400,208358.100,203494.800,725877.100,53540.820,221510.000,204658.200,725877.100,0.000
190495.300,196089.800,191403.000,691511.200,51039.410,208412.200,192586.300,692829.800,0.000
196723.700,202500.700,197779.700,706637.600,52666.840,215224.500,198880.000,716399.200,0.000
208174.400,214296.800,209422.600,727384.600,55534.830,227777.100,210478.800,756732.600,0.000
206502.800,212566.900,207667.500,700909.300,55411.460,225911.400,208791.500,755871.400,0.000
192535.300,198163.500,193416.300,634699.700,52407.110,210542.300,194641.900,715684.700,0.000
183227.900,188565.200,183964.500,583595.600,50394.940,200301.500,185207.300,689324.900,0.000
187754.100,193227.700,188614.100,579056.300,51543.690,205261.100,189788.900,706219.100,0.000
196336.600,202068.400,197352.400,591964.800,53661.590,214671.500,198481.100,736143.100,0.000
195116.500,200801.000,196079.800,576450.900,53551.370,213306.100,197247.600,735265.300,0.000
184673.700,190027.800,185431.000,530777.700,51282.300,201813.700,186670.100,704203.800,0.000
177566.000,182696.800,178216.200,494115.600,49720.910,193997.000,179467.700,681618.900,0.000
180556.600,185778.100,181295.500,490686.800,50466.730,197277.400,182494.500,689895.900,0.000
186568.900,191972.300,187422.700,500218.700,51934.520,203869.100,188580.800,708193.400,0.000
185628.900,190998.100,186450.600,489696.500,51824.790,202816.000,187628.500,705067.800,0.000
178116.100,183249.800,178792.100,457448.200,50177.800,194550.400,180015.900,680995.100,0.000
172843.200,177813.700,173436.800,430815.300,49004.100,188755.800,174663.700,663482.400,0.000
174525.200,179547.500,175176.900,426991.700,49423.910,190601.500,176366.600,667851.700,0.000
178349.100,183484.500,179084.700,432590.300,50361.070,194794.100,180256.100,679345.100,0.000
177592.600,182698.300,178313.100,425151.700,50259.940,193950.300,179502.000,676469.100,0.000
172475.900,177421.300,173100.700,403095.300,49136.880,188320.700,174316.400,659540.500,0.000
168714.500,173545.100,169281.200,384163.000,48296.950,184186.100,170496.300,646665.600,0.000
169334.400,174187.000,169933.700,379607.000,48460.890,184868.000,171122.500,647667.100,0.000
171364.100,176281.500,172014.700,381337.600,48964.230,187098.000,173188.000,653346.900,0.000
170716.400,175613.100,171357.500,375580.500,48858.360,186380.100,172535.500,650691.200,0.000
167490.500,172284.200,168071.200,361140.400,48146.170,182828.400,169264.000,639791.700,0.000
164932.400,169643.500,165473.100,348098.000,47570.660,180013.900,166669.000,630820.100,0.000
164725.100,169425.300,165273.500,342810.700,47530.760,179781.900,166455.300,629236.400,0.000
165344.800,170057.300,165909.200,341249.400,47686.890,180455.100,167077.800,630430.000,0.000
164765.500,169454.200,165321.500,336488.900,47574.150,179809.700,166485.800,627945.900,0.000
162993.000,167624.100,163523.300,327743.300,47185.830,177858.600,164696.200,621690.800,0.000
161372.900,165954.400,161887.000,319213.900,46827.590,176080.000,163067.300,615901.100,0.000
160556.300,165115.700,161068.000,313421.300,46648.300,175185.000,162239.500,612629.400,0.000
160109.200,164656.800,160615.900,309309.700,46549.340,174694.000,161770.400,610507.900,0.000
159562.600,164093.400,160062.900,305151.400,46431.180,174089.700,161204.000,608040.400,0.000
158865.900,163372.200,159361.400,300561.800,46281.620,173317.300,160504.400,605161.300,0.000
157958.200,162430.500,158445.400,295392.300,46079.670,172309.400,159594.000,601745.800,0.000
156725.600,161153.700,157192.600,289309.400,45794.690,170945.500,158335.400,597305.100,0.000
155519.000,159904.200,155960.500,283401.600,45508.330,169614.000,157086.200,592811.000,0.000
154988.800,159349.800,155422.400,279677.500,45380.850,169020.500,156527.500,590335.600,0.000
155050.000,159400.800,155489.600,278039.600,45397.710,169071.500,156592.400,589833.200,0.000
154655.800,158982.300,155092.800,275287.700,45311.640,168624.900,156207.500,588117.700,0.000
153158.900,157431.200,153569.500,269111.800,44962.070,166972.600,154685.200,582944.400,0.000
151442.900,155658.100,151819.700,262060.700,44551.230,165083.600,152918.300,576878.600,0.000
150905.500,155103.600,151280.100,258650.600,44415.320,164489.700,152356.200,574375.100,0.000
151444.300,155660.200,151844.000,258985.500,44536.980,165077.300,152912.800,575409.300,0.000
151391.600,155606.900,151802.100,257903.800,44528.360,165013.500,152876.800,574835.900,0.000
149757.200,153922.700,150140.800,251838.700,44147.970,163214.900,151218.000,569295.800,0.000
147731.500,151834.100,148077.000,244225.500,43658.510,160993.100,149143.700,562325.200,0.000
147168.400,151255.400,147514.800,241088.900,43504.110,160381.200,148561.900,559819.500,0.000
147975.400,152092.000,148355.500,242656.600,43682.440,161276.700,149398.700,561769.900,0.000
148130.500,152256.300,148527.400,242660.200,43722.570,161454.700,149584.900,561915.400,0.000
146447.700,150525.300,146819.700,236848.900,43328.380,159610.500,147886.600,556290.500,0.000
144278.200,148292.400,144614.900,229110.500,42799.820,157231.900,145672.200,548930.000,0.000
143697.600,147698.700,144039.600,226200.200,42634.940,156600.600,145076.700,546420.600,0.000
144618.100,148652.900,144996.300,228417.000,42830.030,157619.700,146027.700,548766.800,0.000
144881.400,148927.300,145276.700,229058.600,42885.590,157914.800,146319.100,549269.700,0.000
143232.100,147228.300,143601.400,223623.200,42496.330,156107.300,144655.300,543751.600,0.000
141057.900,144989.500,141389.200,216109.600,41970.420,153724.300,142441.600,536384.900,0.000
140477.200,144394.800,140809.600,213422.300,41809.160,153091.300,141846.400,533891.400,0.000
141408.800,145356.200,141772.300,215889.200,42004.110,154117.500,142800.500,536282.600,0.000
141705.500,145660.600,142083.400,216852.800,42059.020,154445.700,143118.000,536902.800,0.000
140129.000,144036.300,140483.600,211873.600,41681.710,152720.800,141530.100,531639.400,0.000
138024.300,141870.900,138346.600,204824.500,41174.450,150420.800,139397.400,524539.000,0.000
137429.200,141263.400,137756.300,202346.800,41012.250,149777.500,138796.100,522070.500,0.000
138280.100,142145.300,138638.500,204771.900,41187.510,150718.200,139667.000,524258.100,0.000
138561.600,142438.600,138933.300,205829.800,41237.110,151029.100,139961.600,524826.600,0.000
137102.400,140936.000,137450.000,201353.700,40882.120,149426.100,138485.900,519919.400,0.000
135134.000,138906.900,135447.300,194917.800,40397.790,147264.500,136486.000,513277.300,0.000
134533.600,138287.400,134844.800,192625.000,40225.390,146606.000,135872.100,510845.600,0.000
135253.100,139029.600,135588.200,194796.700,40363.850,147402.500,136606.700,512657.900,0.000
135473.500,139260.300,135821.600,195770.700,40396.690,147655.000,136842.500,513045.800,0.000
134136.300,137886.600,134468.600,191790.100,40069.070,146194.400,135494.000,508536.600,0.000
132330.600,136028.600,132638.900,186028.600,39621.800,144216.000,133662.500,502451.500,0.000
131723.800,135406.300,132035.100,183887.600,39449.140,143553.300,133045.500,500054.300,0.000
132287.100,135990.700,132619.900,185670.800,39553.010,144176.300,133618.200,501392.800,0.000
132433.800,136144.200,132774.900,186441.600,39567.810,144339.400,133769.500,501519.000,0.000
131235.900,134909.100,131560.400,182929.300,39273.030,143023.400,132557.300,497404.100,0.000
129624.800,133247.000,129927.100,177872.800,38877.250,141256.000,130925.800,491906.100,0.000
129026.500,132631.500,129331.300,175890.700,38713.540,140605.400,130322.400,489532.900,0.000
129418.600,133039.100,129742.500,177244.000,38777.830,141045.600,130724.800,490332.100,0.000
129463.100,133089.100,129795.700,177764.800,38762.070,141102.000,130774.600,490124.400,0.000
128378.900,131975.000,128699.600,174698.800,38484.360,139914.700,129679.800,486358.600,0.000
126940.100,130493.500,127243.800,170346.000,38120.830,138337.100,128226.000,481427.400,0.000
126336.700,129874.700,126643.000,168537.500,37952.550,137679.500,127619.200,479076.600,0.000
126560.500,130110.600,126881.200,169481.000,37979.160,137935.500,127851.900,479350.500,0.000
126516.600,130069.600,126841.900,169752.700,37947.130,137898.600,127813.300,478824.400,0.000
125560.300,129087.500,125873.700,167106.000,37705.420,136856.500,126852.700,475413.600,0.000
124305.100,127796.100,124602.800,163422.400,37388.790,135483.400,125593.200,471059.700,0.000
123705.700,127178.300,124002.400,161769.900,37217.610,134828.800,124994.400,468772.000,0.000
123767.500,127241.800,124071.000,162314.000,37197.710,134901.800,125058.200,468589.100,0.000
123631.500,127103.100,123936.400,162354.700,37137.830,134758.900,124918.400,467803.300,0.000
122786.800,126234.700,123085.100,160107.900,36921.200,133836.000,124063.100,464761.300,0.000
121706.000,125122.400,121997.400,157036.400,36651.060,132652.400,122973.100,460967.900,0.000
