EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
250146.100,253352.500,261611.600,750000.100,77626.090,264119.500,250690.600,750000.100,0.000
245534.800,248654.500,256261.300,750000.100,77298.510,259174.600,245946.000,750000.100,0.000
241451.000,244493.700,251649.100,708587.300,76918.080,254793.700,241701.300,750000.100,0.000
237814.100,240803.000,247639.300,646653.800,76604.700,250896.700,238054.900,750000.100,0.000
234520.800,237462.300,244081.100,599641.800,76339.340,247372.600,234943.700,750000.100,0.000
231534.900,234434.900,240853.800,561043.000,76018.200,244174.800,231988.000,750000.100,0.000
228798.200,231654.800,237881.500,526701.300,75624.800,241255.900,229139.800,750000.100,0.000
226320.700,229136.100,235190.600,496188.700,75263.240,238611.900,226529.700,750000.100,0.000
224040.500,226812.800,232744.500,470071.300,74962.390,236157.700,224228.800,750000.100,0.000
221922.300,224652.400,230509.200,450664.000,74726.630,233879.900,222274.100,750000.100,0.000
219941.900,222648.000,228405.300,433945.600,74437.030,231763.700,220328.400,750000.100,0.000
218107.100,220782.200,226430.000,417408.000,74105.700,229816.000,218394.400,750000.100,0.000
216415.000,219052.000,224603.900,401508.000,73790.350,228010.400,216578.800,750000.100,0.000
214852.900,217459.400,222943.700,387483.900,73551.370,226329.100,215002.600,750000.100,0.000
213378.600,215964.400,221410.400,378021.800,73377.020,224753.000,213693.300,750000.100,0.000
211986.900,214562.000,219946.500,369701.100,73155.660,223271.500,212340.200,750000.100,0.000
210671.300,213231.600,218536.600,360374.000,72873.930,221875.500,210929.200,750000.100,0.000
209459.500,211995.000,217229.300,350698.800,72613.760,220582.500,209593.200,750000.100,0.000
208338.800,210855.700,216042.100,342035.700,72431.630,219377.800,208463.600,750000.100,0.000
207270.800,209770.100,214941.500,337121.400,72309.060,218238.600,207561.100,750000.100,0.000
206256.300,208747.000,213878.400,332778.100,72143.120,217161.200,206587.300,750000.100,0.000
205277.900,207754.800,212830.600,326978.300,71911.470,216132.700,205528.600,750000.100,0.000
204378.900,206844.200,211863.500,320448.300,71701.540,215183.200,204521.100,750000.100,0.000
203565.300,206022.800,211009.700,314557.700,71581.110,214309.600,203703.400,749297.800,0.000
202766.500,205209.900,210197.300,311992.200,71496.350,213453.600,203060.100,747183.100,0.000
202007.800,204445.000,209407.100,309744.500,71372.160,212650.300,202343.100,745506.500,0.000
201280.600,203702.700,208623.200,305885.500,71186.550,211882.400,201533.700,742994.400,0.000
200615.800,203023.000,207899.100,301111.400,71017.400,211172.000,200755.100,739448.400,0.000
200004.900,202401.000,207253.400,296769.300,70919.950,210511.200,200136.000,736169.900,0.000
199407.200,201790.500,206647.800,295530.600,70867.020,209867.000,199686.800,734502.300,0.000
198842.400,201224.100,206060.400,294502.900,70780.910,209264.500,199158.100,733677.600,0.000
198286.600,200660.500,205459.000,291777.300,70623.830,208674.000,198512.900,731840.300,0.000
197777.100,200140.600,204899.100,288049.800,70479.260,208133.500,197894.900,728831.100,0.000
