EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
47576.550,49114.360,52269.080,146475.600,21695.410,54140.820,49631.180,146475.600,0.000
157464.000,162546.000,172667.000,487151.300,71976.300,179151.200,164253.400,487151.300,0.000
235353.000,242926.700,257249.700,734571.100,108009.700,267669.400,245430.700,734571.100,0.000
253510.900,261635.400,275977.700,801303.100,116962.500,288178.600,264211.700,801303.100,0.000
255375.500,263524.700,277091.000,817789.300,118459.000,290147.900,266014.900,817789.300,0.000
244193.500,251940.600,264212.200,793229.100,113984.400,277262.900,254322.300,793229.100,0.000
220942.900,227899.100,238362.500,730188.300,103922.600,250659.200,230110.900,730188.300,0.000
207167.700,213655.700,223108.500,694636.800,98009.270,234888.700,215740.500,694636.800,0.000
215898.000,222657.900,232596.000,727301.400,102231.700,244766.000,224764.100,727301.400,0.000
230758.900,237989.000,248732.500,778897.900,109269.700,261614.300,240180.000,778897.900,0.000
228278.800,235409.800,245790.000,777435.200,108472.300,258707.500,237574.800,777435.200,0.000
209694.400,216202.800,225257.300,725877.100,100314.100,237477.700,218217.400,725877.100,0.000
197517.300,203619.500,211891.700,692829.800,94970.470,223569.400,205521.900,692829.800,0.000
203987.800,210294.400,219025.700,712467.600,98050.410,230904.000,212229.900,716399.200,0.000
215850.300,222535.800,231994.300,739597.200,103610.100,244371.600,224560.000,756732.600,0.000
214206.800,220827.500,230067.300,719450.300,103063.800,242453.700,222833.600,755871.400,0.000
199894.100,206037.500,214280.200,660065.400,96731.650,226116.400,207911.800,715684.700,0.000
190367.200,196193.400,203851.300,615599.000,92515.720,215241.300,197974.100,689324.900,0.000
195081.400,201053.700,209085.500,615411.800,94747.290,220583.300,202871.300,706219.100,0.000
203975.500,210230.700,218839.700,630547.200,98903.940,230678.400,212126.100,736143.100,0.000
202772.600,208984.600,217442.200,617725.800,98491.400,229274.200,210854.900,735320.200,0.000
192066.900,197928.400,205638.600,576668.700,93737.260,217056.700,199676.900,705038.700,0.000
